Brand,Category,Product,SKU,Price,Price Display,Lead Time,Caption,Description,Specs (pipe separated)
Avon,Hype Chain w/ Pendant,Avon Hype Chain w/ Pendant,RB-AVO-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Ben Davis,Hype Chain w/ Pendant,Ben Davis Hype Chain w/ Pendant,RB-BD-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Brownsburg,Hype Chain w/ Pendant,Brownsburg Hype Chain w/ Pendant,RB-BRO-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Carmel,Hype Chain w/ Pendant,Carmel Hype Chain w/ Pendant,RB-CAR-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Cascade,Hype Chain w/ Pendant,Cascade Hype Chain w/ Pendant,RB-CAS-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Center Grove,Hype Chain w/ Pendant,Center Grove Hype Chain w/ Pendant,RB-CG-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Danville,Hype Chain w/ Pendant,Danville Hype Chain w/ Pendant,RB-DAN-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Decatur Central,Hype Chain w/ Pendant,Decatur Central Hype Chain w/ Pendant,RB-DC-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Fishers,Hype Chain w/ Pendant,Fishers Hype Chain w/ Pendant,RB-FIS-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Franklin Central,Hype Chain w/ Pendant,Franklin Central Hype Chain w/ Pendant,RB-FC-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Greenwood,Hype Chain w/ Pendant,Greenwood Hype Chain w/ Pendant,RB-GRE-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Hamilton Heights,Hype Chain w/ Pendant,Hamilton Heights Hype Chain w/ Pendant,RB-HH-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Hamilton Southeastern,Hype Chain w/ Pendant,Hamilton Southeastern Hype Chain w/ Pendant,RB-HSE-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Lawrence Central,Hype Chain w/ Pendant,Lawrence Central Hype Chain w/ Pendant,RB-LC-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Lawrence North,Hype Chain w/ Pendant,Lawrence North Hype Chain w/ Pendant,RB-LN-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Martinsville,Hype Chain w/ Pendant,Martinsville Hype Chain w/ Pendant,RB-MAR-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Monrovia,Hype Chain w/ Pendant,Monrovia Hype Chain w/ Pendant,RB-MON-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Noblesville,Hype Chain w/ Pendant,Noblesville Hype Chain w/ Pendant,RB-NOB-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
North Central,Hype Chain w/ Pendant,North Central Hype Chain w/ Pendant,RB-NC-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Plainfield,Hype Chain w/ Pendant,Plainfield Hype Chain w/ Pendant (Shield),RB-PLA-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Plainfield,Hype Chain w/ Pendant,Plainfield Hype Chain w/ Pendant (Red Script),RB-PLA-HC-2,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Plainfield,Hype Chain w/ Pendant,Plainfield Hype Chain w/ Pendant (Blue Script),RB-PLA-HC-3,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Plainfield,Hype Chain w/ Pendant,Plainfield Hype Chain w/ Pendant (Red P),RB-PLA-HC-4,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Plainfield,Hype Chain w/ Pendant,Plainfield Hype Chain w/ Pendant (Blue P),RB-PLA-HC-5,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Speedway,Hype Chain w/ Pendant,Speedway Hype Chain w/ Pendant,RB-SPE-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Roncalli,Hype Chain w/ Pendant,Roncalli Hype Chain w/ Pendant,RB-RON-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Sheridan,Hype Chain w/ Pendant,Sheridan Hype Chain w/ Pendant,RB-SHE-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Southport,Hype Chain w/ Pendant,Southport Hype Chain w/ Pendant,RB-SOU-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Tri-West,Hype Chain w/ Pendant,Tri-West Hype Chain w/ Pendant,RB-TW-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Warren Central,Hype Chain w/ Pendant,Warren Central Hype Chain w/ Pendant,RB-WC-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Westfield,Hype Chain w/ Pendant,Westfield Hype Chain w/ Pendant,RB-WES-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Whiteland,Hype Chain w/ Pendant,Whiteland Hype Chain w/ Pendant,RB-WHI-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Zionsville,Hype Chain w/ Pendant,Zionsville Hype Chain w/ Pendant,RB-ZIO-HC-1,$20.00 ,$20.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Hype Chain w/ Pendant,The OG hype chain. You get custom colors within a linked chain & pendant combo for your little extra spirit flair.,6'' Team Branded Pendant w/ Links |Custom Color | Lightweight PLA / Durable Finish
Avon,Key Chain w/ Pendant,Avon Key Chain w/ Pendant,RB-AVO-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Ben Davis,Key Chain w/ Pendant,Ben Davis Key Chain w/ Pendant,RB-BD-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Brownsburg,Key Chain w/ Pendant,Brownsburg Key Chain w/ Pendant,RB-BRO-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Carmel,Key Chain w/ Pendant,Carmel Key Chain w/ Pendant,RB-CAR-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Cascade,Key Chain w/ Pendant,Cascade Key Chain w/ Pendant,RB-CAS-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Center Grove,Key Chain w/ Pendant,Center Grove Key Chain w/ Pendant,RB-CG-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Danville,Key Chain w/ Pendant,Danville Key Chain w/ Pendant,RB-DAN-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Decatur Central,Key Chain w/ Pendant,Decatur Central Key Chain w/ Pendant,RB-DC-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Fishers,Key Chain w/ Pendant,Fishers Key Chain w/ Pendant,RB-FIS-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Franklin Central,Key Chain w/ Pendant,Franklin Central Key Chain w/ Pendant,RB-FC-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Greenwood,Key Chain w/ Pendant,Greenwood Key Chain w/ Pendant,RB-GRE-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Hamilton Heights,Key Chain w/ Pendant,Hamilton Heights Key Chain w/ Pendant,RB-HH-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
Hamilton Southeastern,Key Chain w/ Pendant,Hamilton Southeastern Key Chain w/ Pendant,RB-HSE-KC-1,$5.00 ,$5.00 ,"Due to the nature of custom printed products, lead times wil vary based on current production schedule.",Key Chain w/ Pendant,"Small in size, Big brand flair.  You get custom colors within a pendeant and metal key chain link.  Perfect bags or keys.",Team Branded Pendant w/ Metal Key Chain | Custom Color / Lightweight PLA
